Article URL,total_freq
https://www.usnews.com/news/world/articles/2017-08-12/7-white-helmets-members-shot-dead-in-northwestern-syria,4
https://stj-sy.com/en/view/179,10
https://worldaffairs.blog/2017/04/04/false-flag-or-fake-chemical-gas-attack-in-syria/,5
http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGDMMsD_shYKgfRlvRN02Xx8rL3Gw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=oAyPWZiVII3G3QHcqbqABA&url=http://www.cnn.com/2017/08/12/middleeast/white-helmets-syria-killings/index.html,2
http://destyy.com/qHDT9I,4
http://www.metronews.ca/news/world/2017/08/12/7-white-helmets-members-shot-dead-in-northwestern-syria.html,1
https://www.theguardian.com/film/2016/dec/20/george-clooney-white-helmets-syria-civil-defence,1
http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEaP0rDcpWfoXWhXiVv51FA_FuUQQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52779577288356&ei=uqOQWeCwD8HR3QG5woqYBA&url=https://www.usnews.com/news/world/articles/2017-08-13/the-latest-rebels-fighting-for-damascus-suburbs-kill-20,2
https://syrianfreepress.wordpress.com/,1
https://clarityofsignal.com/2017/05/01/now-you-see-me-over-100-white-helmet-self-posted-facebook-images-expose-fake-humanitarian-group-as-fsa-terrorists-in-bed-with-al-qaeda/,464
http://www.hangthebankers.com/hollywood-propaganda-white-helmets-syria/,21
http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNFGrEwYX_9kixck7QBUd74MGl9TRw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=9guSWZjiMMbMqgKWt7KgBQ&url=http://www.npr.org/2017/08/14/543477504/white-helmets-rescuer-among-several-killed-in-syria-attack,1
http://www.sinfiltros.com/sin-palabras/heroes-las-bombas-siria-20160803.html,3
http://www.syrianews.cc/minions-of-iblis-against-syria-white-helmets/,42
